fCode	Pheno	Category	h2(se)	z_h2	h2nim(se)	z_nim	h2_non_nim(se)	z_non_nim	h2_mh - h2_nim (se)	z_delta
f.30810.0.0	Phosphate	Blood biochemistry	0.1675 (0.0144)	11.6	0.0020 (0.0009)	2.22	0.0020 (0.0002)	8.47	0.0001 (0.0009)	6.00E-02
f.30830.0.0	SHBG	Blood biochemistry	0.3284 (0.0694)	4.73	0.0005 (0.0013)	0.39	0.0034 (0.0007)	4.82	0.0029 (0.0018)	1.63E+00
f.30850.0.0	Testosterone	Blood biochemistry	0.1424 (0.0104)	13.7	0.0009 (0.0006)	1.53	0.0019 (0.0002)	8.24	0.0011 (0.0007)	1.62E+00
f.30860.0.0	Total protein	Blood biochemistry	0.2440 (0.0196)	12.43	0.0035 (0.0023)	1.5	0.0025 (0.0003)	8.4	-0.0010 (0.0023)	-4.40E-01
f.30890.0.0	Vitamin D	Blood biochemistry	0.1388 (0.0225)	6.17	0.0010 (0.0012)	0.86	0.0016 (0.0003)	4.77	0.0006 (0.0013)	4.40E-01
f.102.0.0	"Pulse rate, automated reading"	Blood pressure	0.1786 (0.0098)	18.25	0.0013 (0.0012)	1.08	0.0027 (0.0003)	8.86	0.0014 (0.0012)	1.13E+00
f.4079.0.0	"Diastolic blood pressure, automated reading"	Blood pressure	0.1821 (0.0080)	22.82	0.0010 (0.0006)	1.81	0.0024 (0.0002)	10.88	0.0014 (0.0006)	2.25E+00
f.4080.0.0	"Systolic blood pressure, automated reading"	Blood pressure	0.2056 (0.0073)	28.32	0.0010 (0.0005)	1.92	0.0024 (0.0003)	8.84	0.0014 (0.0005)	2.59E+00
f.4195.0.0	Pulse wave reflection index	Blood pressure	0.0229 (0.0136)	1.68	-0.0017 (0.0013)	-1.37	0.0008 (0.0004)	2.08	0.0026 (0.0014)	1.84E+00
f.4196.0.0	Pulse wave peak to peak time	Blood pressure	0.0302 (0.0122)	2.47	-0.0001 (0.0011)	-0.05	0.0013 (0.0005)	2.84	0.0014 (0.0011)	1.27E+00
f.4198.0.0	Position of the pulse wave peak	Blood pressure	0.0918 (0.0140)	6.55	0.0009 (0.0011)	0.77	0.0018 (0.0005)	3.28	0.0009 (0.0012)	7.40E-01
f.4199.0.0	Position of pulse wave notch	Blood pressure	0.0889 (0.0124)	7.15	0.0007 (0.0020)	0.35	0.0015 (0.0004)	3.31	0.0008 (0.0021)	3.70E-01
f.4200.0.0	Position of the shoulder on the pulse waveform	Blood pressure	0.0830 (0.0119)	6.97	0.0001 (0.0010)	0.1	0.0017 (0.0005)	3.41	0.0016 (0.0011)	1.36E+00
f.21021.0.0	Pulse wave Arterial Stiffness index	Blood pressure	0.0066 (0.0287)	0.23	0.0011 (0.0025)	0.42	0.0007 (0.0006)	1.24	-0.0003 (0.0027)	-1.20E-01
f.3143.0.0	Ankle spacing width	Bone densitometry	0.3846 (0.0154)	25.03	0.0029 (0.0012)	2.44	0.0048 (0.0006)	8.25	0.0018 (0.0014)	1.33E+00
f.3144.0.0	"Heel Broadband ultrasound attenuation, direct entry"	Bone densitometry	0.3201 (0.0209)	15.31	0.0026 (0.0022)	1.19	0.0039 (0.0003)	11.41	0.0014 (0.0022)	6.20E-01
f.3147.0.0	"Heel quantitative ultrasound index (QUI), direct entry"	Bone densitometry	0.3431 (0.0244)	14.07	0.0030 (0.0024)	1.22	0.0042 (0.0004)	11.12	0.0012 (0.0025)	4.90E-01
f.3148.0.0	Heel bone mineral density (BMD)	Bone densitometry	0.3306 (0.0235)	14.06	0.0034 (0.0027)	1.27	0.0042 (0.0004)	10.13	0.0008 (0.0028)	2.90E-01
f.4106.0.0+f.4125.0.0	BMD Heel T-score	Bone densitometry	0.4001 (0.0316)	12.68	0.0035 (0.0031)	1.14	0.0058 (0.0007)	8.65	0.0022 (0.0033)	6.90E-01
f.189.0.0	Townsend deprivation index at recruitment	Environmental factors	0.0708 (0.0046)	15.26	-0.0002 (0.0004)	-0.47	0.0009 (0.0001)	6.5	0.0010 (0.0004)	2.57E+00
f.1558.0.0	Alcohol intake frequency	Environmental factors	0.1267 (0.0059)	21.52	0.0005 (0.0004)	1.18	0.0017 (0.0002)	10.44	0.0011 (0.0005)	2.36E+00
f.5254.0.0	"Intra-ocular pressure, corneal-compensated (right)"	Eye	0.1154 (0.0235)	4.92	-0.0016 (0.0018)	-0.91	0.0016 (0.0007)	2.34	0.0032 (0.0021)	1.56E+00
f.5255.0.0	"Intra-ocular pressure, Goldmann-correlated (right)"	Eye	0.2424 (0.0266)	9.1	-0.0034 (0.0020)	-1.74	0.0029 (0.0006)	4.47	0.0063 (0.0022)	2.82E+00
f.5256.0.0	Corneal hysteresis (right)	Eye	0.2063 (0.0237)	8.7	0.0048 (0.0023)	2.09	0.0022 (0.0006)	3.65	-0.0027 (0.0025)	-1.07E+00
f.5257.0.0	Corneal resistance factor (right)	Eye	0.2641 (0.0274)	9.64	0.0034 (0.0023)	1.44	0.0027 (0.0007)	3.79	-0.0007 (0.0026)	-2.70E-01
f.5262.0.0	"Intra-ocular pressure, corneal-compensated (left)"	Eye	0.1387 (0.0233)	5.95	0.0001 (0.0018)	0.04	0.0025 (0.0006)	4.09	0.0024 (0.0020)	1.20E+00
f.5263.0.0	"Intra-ocular pressure, Goldmann-correlated (left)"	Eye	0.2078 (0.0239)	8.68	-0.0007 (0.0019)	-0.37	0.0032 (0.0006)	5.37	0.0039 (0.0021)	1.88E+00
f.5264.0.0	Corneal hysteresis (left)	Eye	0.1363 (0.0206)	6.61	0.0004 (0.0019)	0.22	0.0025 (0.0006)	4.31	0.0021 (0.0020)	1.03E+00
f.5265.0.0	Corneal resistance factor (left)	Eye	0.1823 (0.0235)	7.76	-0.0000 (0.0020)	0	0.0025 (0.0006)	3.95	0.0025 (0.0022)	1.16E+00
f.5256.0.0+f.5264.0.0	Corneal Hysteresis	Eye	0.2904 (0.0269)	10.8	0.0048 (0.0023)	2.09	0.0041 (0.0007)	5.82	-0.0007 (0.0025)	-2.90E-01
f.2178.0.0	Overall health rating	General medical information	0.1954 (0.0063)	31.2	0.0017 (0.0005)	3.63	0.0022 (0.0002)	11.86	0.0005 (0.0005)	9.20E-01
f.30740.0.0	Glucose	Glucose metabolism	0.1281 (0.0163)	7.86	0.0010 (0.0007)	1.51	0.0013 (0.0002)	6.21	0.0003 (0.0007)	4.20E-01
f.30750.0.0	Hemoglobin A1c	Glucose metabolism	0.2968 (0.0257)	11.54	0.0042 (0.0016)	2.55	0.0031 (0.0004)	8.17	-0.0010 (0.0017)	-6.00E-01
f.30700.0.0	Creatinine	Kidney	0.2804 (0.0127)	22.15	0.0029 (0.0010)	2.83	0.0039 (0.0003)	11.68	0.0009 (0.0011)	8.20E-01
f.30510.0.0	Creatinine in urine	Kidney	0.0766 (0.0048)	15.95	0.0007 (0.0005)	1.47	0.0012 (0.0002)	6.1	0.0005 (0.0005)	9.60E-01
f.30720.0.0	Cystatin-C	Kidney	0.3270 (0.0554)	5.9	0.0016 (0.0010)	1.57	0.0036 (0.0003)	12.38	0.0020 (0.0012)	1.68E+00
f.30500.0.0	Microalbumin in urine	Kidney	0.0325 (0.0135)	2.4	0.0011 (0.0013)	0.86	0.0001 (0.0004)	0.32	-0.0010 (0.0015)	-6.70E-01
f.30520.0.0	Potassium in urine	Kidney	0.0505 (0.0050)	10.14	0.0003 (0.0005)	0.64	0.0006 (0.0001)	4.58	0.0003 (0.0005)	6.50E-01
f.30530.0.0	Sodium in urine	Kidney	0.0922 (0.0042)	21.91	0.0005 (0.0004)	1.1	0.0013 (0.0001)	8.63	0.0008 (0.0005)	1.77E+00
f.30880.0.0	Urate	Kidney	0.2916 (0.0587)	4.97	-0.0002 (0.0009)	-0.24	0.0043 (0.0009)	4.9	0.0045 (0.0016)	2.74E+00
f.30670.0.0	Urea	Kidney	0.1732 (0.0081)	21.31	0.0014 (0.0007)	2.04	0.0023 (0.0002)	9.39	0.0009 (0.0008)	1.20E+00
f.30630.0.0	Apolipoprotein A	Lipid metabolism	0.2995 (0.0393)	7.63	-0.0001 (0.0012)	-0.1	0.0039 (0.0005)	7.75	0.0041 (0.0013)	3.03E+00
f.30640.0.0	Apolipoprotein B	Lipid metabolism	0.2172 (0.0666)	3.26	0.0009 (0.0009)	0.99	0.0026 (0.0008)	3.46	0.0017 (0.0010)	1.78E+00
f.30690.0.0	Cholesterol	Lipid metabolism	0.1739 (0.0289)	6.02	0.0005 (0.0007)	0.63	0.0023 (0.0004)	5.65	0.0019 (0.0009)	2.09E+00
f.30760.0.0	HDL cholesterol	Lipid metabolism	0.3688 (0.0545)	6.77	-0.0006 (0.0012)	-0.5	0.0044 (0.0005)	9.25	0.0050 (0.0014)	3.62E+00
f.30780.0.0	LDL direct	Lipid metabolism	0.1706 (0.0405)	4.21	0.0007 (0.0008)	0.88	0.0022 (0.0005)	4.42	0.0015 (0.0008)	1.78E+00
f.30870.0.0	Triglycerides	Lipid metabolism	0.2719 (0.0337)	8.06	-0.0000 (0.0007)	-0.02	0.0037 (0.0005)	6.96	0.0037 (0.0009)	4.30E+00
f.30620.0.0	Alanine aminotransferase	Liver	0.1664 (0.0136)	12.26	0.0013 (0.0008)	1.68	0.0023 (0.0003)	8.12	0.0010 (0.0008)	1.26E+00
f.30610.0.0	Alkaline phosphatase	Liver	0.3682 (0.0691)	5.33	0.0010 (0.0010)	1.01	0.0044 (0.0011)	3.85	0.0034 (0.0018)	1.87E+00
f.30650.0.0	Aspartate aminotransferase	Liver	0.1851 (0.0154)	12.02	0.0025 (0.0011)	2.2	0.0027 (0.0003)	9.75	0.0003 (0.0011)	2.50E-01
f.30730.0.0	Gamma glutamyltransferase	Liver	0.3140 (0.0426)	7.38	0.0024 (0.0007)	3.27	0.0028 (0.0003)	9.9	0.0004 (0.0008)	4.40E-01
f.3064.0.0	Peak expiratory flow (PEF)	Lung	0.1356 (0.0068)	19.9	0.0006 (0.0006)	1.04	0.0017 (0.0002)	9.18	0.0011 (0.0007)	1.56E+00
f.20150.0.0	Forced expiratory volume in 1-second (FEV1)	Lung	0.2841 (0.0120)	23.67	0.0025 (0.0010)	2.55	0.0038 (0.0004)	10.43	0.0013 (0.0011)	1.21E+00
f.20151.0.0	Forced vital capacity (FVC)	Lung	0.3301 (0.0148)	22.35	0.0029 (0.0009)	3.12	0.0048 (0.0004)	12.61	0.0019 (0.0011)	1.79E+00
f.3063.0.0/f.3062.0.0	FEV1-FVC ratio	Lung	0.2561 (0.0115)	22.32	0.0023 (0.0009)	2.52	0.0034 (0.0003)	11.77	0.0011 (0.0010)	1.04E+00
f.1747.0.0	Hair color	Skin and hair	0.3291 (0.0804)	4.1	0.0026 (0.0030)	0.85	0.0034 (0.0010)	3.46	0.0008 (0.0031)	2.60E-01
f.1727.0.0	Tanning (quantitative)	Skin and hair	0.2479 (0.0852)	2.91	-0.0015 (0.0015)	-0.97	0.0029 (0.0013)	2.19	0.0044 (0.0027)	1.61E+00
